yIndex,   yValue,        a,       Ta,        b,       Tb,     e(a),    e(Ta),     e(b),    e(Tb),      SSR,       DF, chi-sq/ndf
   44,   2.9770,  30.7404,  27.1151, -24.8151,  32.5175,  38.1766,   5.3028,  38.2026,   6.5783, 6.4013e+03,   796,  1.43117 
   45,   2.9810,  18.7753,  20.4980, -12.1549,  24.5927, 1260.4358, 134.2200, 1261.4865, 220.3718, 6.7301e+03,   796,  1.09982 
   46,   2.9850,  16.9974,  17.4648, -10.0648,  22.0411, 734.5541,  96.6104, 735.9687, 175.0883, 8.6701e+03,   796,  1.48148 
   47,   2.9890, 5334.9174,   0.6554,   3.1534,  29.9508, 13084.4332,   0.2513,   0.7684,   8.3432, 7.4052e+03,   796,  0.98507 
   48,   2.9930,  13.9133,   4.2742,   2.5984,  30.1954,   8.0087,   2.5304,   1.8516,  16.4820, 7.4099e+03,   796,  0.76164 
   50,   3.0010,  14.4044,  24.7524,  -7.5125,  35.2584,  10.5456,   5.9943,  10.6506,  10.1746, 6.4648e+03,   796,  1.13162 
   51,   3.0050,  28.8753,  32.1891, -23.7879,  37.6337,  38.4888,   6.6826,  38.5036,   8.1055, 6.5081e+03,   796,  0.94182 
   53,   3.0130,   8.6438,  13.5771,   0.8163, 2772995.5159,   1.3037,   3.3703,   0.4860, 39700723526.0607, 7.1873e+03,   796,  0.92683 
   54,   3.0170,  13.3966,  30.0189,  -7.7304,  54.4060,  35.4191,  28.3285,  35.9782,  70.6093, 5.2179e+03,   796,  0.80054 
   55,   3.0210,   9.2570,  18.9421,  -2.4040,  97.4199,   1.9206,   6.9327,   2.3518,  80.0912, 7.2063e+03,   796,  0.74712 
   56,   3.0250,  25.6728,  35.5721, -19.7752,  45.2840, 591.2634, 104.7996, 591.8899, 157.3948, 6.4509e+03,   796,  0.88723 
   57,   3.0290,  28.5028,  32.6362, -21.9150,  43.2112, 344.3514,  59.7419, 344.9812,  90.9010, 6.0087e+03,   796,  0.65297 
   59,   3.0370,  18.7286,  34.7121, -12.9726,  50.4884, 173.2153,  66.0181, 173.8611, 120.8666, 7.2032e+03,   796,  1.26171 
   60,   3.0410,  24.0402,  41.8859, -18.6460,  54.0901, 597.9496, 139.2942, 598.5254, 216.3952, 6.5521e+03,   796,  1.09826 
   61,   3.0450,  12.5921,   4.7445,   3.6497,  22.0200,   5.2221,   2.7093,   2.7298,   9.7520, 5.7687e+03,   796,  1.06219 
   62,   3.0490,   7.6187,  18.0354,   0.2920, 405100.6814,   0.9743,   4.9132,   0.6455, 2950596212.4150, 6.9656e+03,   796,  1.01026 
   63,   3.0530,   6.2045,  22.3122,   0.4216, 715405.9944,   0.8461,   7.5486,   0.8261, 7675195150.2738, 6.3907e+03,   796,  1.06454 
   64,   3.0570,  21.5751,  26.5470, -14.3950,  32.6330, 823.0320, 111.9310, 823.8264, 183.1368, 6.6658e+03,   796,  1.21382 
