yIndex,   yValue,        a,       Ta,        b,       Tb,     e(a),    e(Ta),     e(b),    e(Tb),      SSR,       DF, chi-sq/ndf
   46,   2.9850,  14.9817,  17.1014,  -8.0361,  22.5321, 440.4000,  78.1700, 441.8000, 157.3000, 8.6702e+03,   796,  1.48149 
   47,   2.9890,   4.9895,  19.7621,   0.0665,  91.1713,   2.3940,  14.8500,   2.9000, 3061.0000, 7.6643e+03,   796,  1.01954 
   48,   2.9930,  13.9802,   4.2230,   2.6467,  29.6852,   8.2190,   2.5360,   1.8830,  16.1100, 7.4099e+03,   796,  0.76164 
   50,   3.0010,  44.7008,  27.7672, -37.8201,  30.3948, 9635.0000, 281.4000, 9636.0000, 337.9000, 6.4637e+03,   796,  1.13144 
   51,   3.0050,   1.1465,  14.2388,   4.6422,  13.4885,   0.0000,   0.0000,   0.0000, 5354.0000, 6.6022e+03,   796,  0.95544 
   53,   3.0130,   0.0000,  18.8045,  -0.1154,   0.0000,   0.0000,   0.0000,   0.0000,   0.0000, 6.5964e+03,   796,  0.85063 
   54,   3.0170,  13.1349,  29.7815,  -7.4615,  54.9076,  32.5300,  27.3300,  33.0900,  69.7500, 5.2179e+03,   796,  0.80054 
   55,   3.0210,   9.2525,  18.9256,  -2.3977,  97.6265,   1.9130,   6.9230,   2.3420,  80.3500, 7.2063e+03,   796,  0.74712 
   56,   3.0250,  21.5418,  34.6843, -15.6384,  46.6569, 319.5000,  82.4400, 320.1000, 135.0000, 6.4510e+03,   796,  0.88725 
   57,   3.0290,  24.1122,  31.7263, -17.5141,  44.6546, 190.9000,  47.4500, 191.5000,  78.6800, 6.0089e+03,   796,  0.65299 
   59,   3.0370,  16.5255,  33.7235, -10.7566,  52.3027, 108.0000,  54.3200, 108.6000, 109.9000, 7.2033e+03,   796,  1.26172 
   60,   3.0410,  20.2713,  40.8229, -14.8718,  55.7771, 329.7000, 110.1000, 330.2000, 187.3000, 6.5522e+03,   796,  1.09829 
   61,   3.0450,  12.5056,   4.7975,   3.6096,  22.1061,   5.4310,   3.2500,   3.4740,  12.7800, 5.7687e+03,   796,  1.06219 
   62,   3.0490,   9.1141,  22.3429,  -1.9187,  21.8201,   0.0000,   1.6300,   0.0000,   8.3600, 6.9982e+03,   796,  1.01499 
   63,   3.0530,  12.1179,  30.1261,  -6.1956,  29.5752,   0.0000,   0.0000,   0.0000,   0.0000, 6.4473e+03,   796,  1.07398 
   64,   3.0570,  18.2341,  25.9611, -11.0469,  33.5221, 433.3000,  86.4100, 434.1000, 157.8000, 6.6660e+03,   796,  1.21384 
