 37,   2.949,    4.235,   24.216,   -0.706,   33.004,  214.490,  210.602,  215.077, 1454.581,    0.492,    0.452,    0.499,    0.491,   0.6704
 38,   2.953,    7.361,   24.311,   -6.715,    6.489,    4.624,    8.381,    3.683,    6.295,    0.066,    0.008,    0.046,    0.152,   1.2010
 39,   2.957,    6.169,   19.959,   -0.760,   67.853,    4.074,   13.838,    4.558,  234.061,    0.074,    0.083,    0.431,    0.382,   0.9258
 40,   2.961,    8.988,   21.465,   -4.462,   23.586, 8154.446,  945.634, 8155.180, 1977.422,    0.500,    0.491,    0.500,    0.495,   0.6454
 41,   2.965,    7.730,   22.172,   -2.346,   89.836,    2.990,   10.239,    3.393,   92.356,    0.013,    0.026,    0.240,    0.165,   1.1235
 42,   2.969,   16.727,   31.922,  -10.742,   49.452,   89.776,   42.030,   90.261,   86.169,    0.423,    0.220,    0.451,    0.278,   1.0371
 43,   2.973,   20.742,   24.681,  -12.521,   34.649,  169.390,   38.293,  169.984,   74.368,    0.449,    0.255,    0.469,    0.315,   1.5937
 44,   2.977,   30.928,   28.488,  -25.459,   33.655, 1463.394,  117.835, 1463.973,  155.333,    0.491,    0.401,    0.493,    0.411,   1.3726
 45,   2.981,   12.891,   20.717,   -6.658,   27.425,  316.248,   78.771,  316.973,  171.057,    0.483,    0.392,    0.491,    0.434,   1.1259
 46,   2.985,   10.470,   16.464,   -3.717,   25.121,  111.039,   43.879,  111.997,  145.128,    0.461,    0.349,    0.486,    0.428,   1.5148
 47,   2.989,    8.695,    3.765,    2.530,   30.430,    5.349,    2.795,    1.517,   15.287,    0.062,    0.096,    0.058,    0.035,   1.0487
 48,   2.993,    5.999,   12.664,    0.669,   45.439,    3.239,    9.316,    3.812,  143.559,    0.044,    0.094,    0.427,    0.371,   0.7859
 49,   2.997,   10.898,   15.529,   -2.489,   19.653,  598.341,  109.730,  599.313,  522.558,    0.492,    0.441,    0.498,    0.484,   1.7889
 50,   3.001,   -9.912,   33.852,   16.848,   25.396,  283.678,  130.865,  283.075,   67.282,    0.485,    0.394,    0.475,    0.348,   1.1448
 51,   3.005,   15.868,   23.977,   -9.040,   36.370,   94.697,   34.469,   95.306,   73.695,    0.431,    0.239,    0.461,    0.305,   0.9763
 52,   3.009,   14.135,   28.331,   -7.251,   50.215,   40.343,   27.559,   40.863,   75.648,    0.358,    0.153,    0.427,    0.249,   1.6205
