 69, 352.560,    2.963,   53.964,   -2.129,    8.146,    1.146,   18.805,    1.407,    4.986,   1.0376
 71, 353.360,  -11.300,  159.979,   22.417, 1063.067,   10.423,  107.015,   10.610,  929.971,   1.8881
 72, 353.760,    4.178,   11.371,    9.846, 735013.009,    0.407,    2.047,    0.173, 37689220.016,   1.0723
 74, 354.560,   13.068,   16.740,   -5.502, 1094.149,    0.417,    1.057,    0.225,  202.915,   1.1706
 75, 354.960,   12.653,  149.591,  -15.662,  332.941,   30.938,  140.454,   31.079,  303.483,   0.8334
 76, 355.360,    7.465,   26.855,  -11.455, 1715.459,    0.418,    3.097,    0.274,  265.130,   1.1167
 77, 355.760,   27.475,  349.475,  -33.389,  461.308, 3091.714, 5089.074, 3091.872, 6416.055,   1.1385
 78, 356.160,    9.180,  150.518,  -14.032,  436.650,   16.864,  136.213,   17.003,  357.195,   0.9592
 79, 356.560,   11.242,   66.169,  -13.511,  125.279,   19.094,   41.486,   19.221,   54.029,   1.6139
 80, 356.960,    8.195,   51.397,   -6.916,   56.847, 4339.894, 1399.086, 4339.986, 1766.689,   1.4801
 81, 357.360,    2.145,  726.496,    2.314,   30.881,    0.397,  373.898,    0.507,   13.654,   1.2681
 86, 359.360,   -0.015,    1.172,   13.725, 1083295.035,    0.088,    1.249,    0.200, 71299933.322,   2.5656
 87, 359.760,   24.178,   22.831,   -8.298,   98.434,    1.653,    1.672,    1.620,   12.912,   0.9908
 89, 360.560,   16.650,   20.136,  -10.090,  805.182,    0.422,    1.021,    0.256,   68.112,   0.9653
 90, 360.960,   20.194,  249.968,  -21.514,  305.394, 3786.301, 4539.613, 3786.475, 5594.168,   1.7316
 91, 361.360,  162.772,   66.316, -159.995,   68.886, 78699.606,  614.025, 78699.723,  639.707,   1.2618
 93, 362.160,   15.367,   21.698,   -9.094, 1079.565,    0.418,    1.193,    0.254,  130.021,   1.1409
 95, 362.960,   13.069,   28.417,   -9.713,  568.136,    0.551,    2.386,    0.426,   56.639,   1.2299
 96, 363.360,   21.024,  158.356,  -20.930,  166.595, 93946.011, 17935.752, 93946.207, 18985.031,   2.0743
 98, 364.160,    4.298,   17.466,    6.341, 1371.821,    0.522,    4.231,    0.281,  338.584,   1.2599
101, 365.360,   25.621,   36.199,  -14.750,  289.975,    0.800,    1.860,    0.781,   17.873,   1.0430
102, 365.760,  -71.856,  819.428,   80.379, 1034.252, 88275.898, 107201.944, 88276.193, 145257.618,   3.4332
103, 366.160,   -4.163,    5.319,   19.881, 1619.123,    0.833,    1.086,    0.267,  152.966,   2.9642
104, 366.560,   11.671,   24.566,    8.872, 15881.932,    0.539,    2.337,    0.313, 32986.178,   2.3540
105, 366.960,   44.243,   43.478,  -32.309,  120.735,    4.324,    2.919,    4.403,    7.805,   1.1884
106, 367.360,   63.866,   57.840,  -58.715,   85.389,   98.849,   19.099,   99.001,   26.568,   2.0475
107, 367.760,  -51.398,  771.101,   59.317,  986.014, 67471.911, 113437.801, 67472.220, 152061.679,   4.6014
108, 368.160,   12.007,   22.617,    3.975, 1093.682,    0.699,    2.672,    0.433,  517.267,   3.2251
109, 368.560,    6.195,   51.072,   10.230, -994.324,    0.711,   13.296,    0.597,  179.329,   4.0095
110, 368.960,    6.391,   18.494,    9.540,  755.485,    0.694,    3.985,    0.408,  103.155,   3.5555
111, 369.360,   22.873,   36.152,  -11.342,  171.154,    1.355,    2.596,    1.378,   15.601,   1.1928
112, 369.760,   50.617,   69.450,  -45.499,   83.857,  772.896,  103.848,  773.043,  130.375,   2.0076
113, 370.160,   30.857,   60.639,  -26.226,  102.885,   31.961,   18.845,   32.085,   31.340,   1.6801
117, 371.760,   19.830,   32.394,   -9.914,  254.937,    0.708,    1.909,    0.677,   19.094,   1.2370
118, 372.160,   22.744,   21.568,  -21.088,   10.893,   21.867,    7.058,   22.134,    3.966,   1.5577
119, 372.560,   28.341,   51.196,  -22.364,   60.001, 1214.381,  179.826, 1214.484,  251.783,   1.9156
121, 373.360,    8.651,   25.346,    8.720, 3489.630,    0.502,    3.032,    0.306, 1597.857,   1.5792
122, 373.760,    5.206,   29.705,    8.883, 3972.134,    0.514,    6.120,    0.343, 2217.420,   1.8140
124, 374.560,   26.618,   25.321,  -16.235,   11.663,   16.916,    6.149,   17.190,    4.988,   2.2363
