yIndex,   yValue,        a,       Ta,        b,       Tb,     e(a),    e(Ta),     e(b),    e(Tb),      SSR,       DF, chi-sq/ndf
   68,   3.0730,   7.6184,  15.8911,   0.3110,  53.8979,   3.5231,   8.5396,   4.0277, 380.8026, 6.5887e+03,   803,  0.90399 
   69,   3.0770,  19.4741,  20.5578, -11.0279,  29.5011, 161.3354,  35.1662, 162.1096,  72.1896, 8.1751e+03,   803,  0.90654 
   70,   3.0810,   9.6732,  19.2321,  -1.5212,  56.2013,   5.9557,  10.3800,   6.5142, 117.3381, 7.7817e+03,   803,  0.80056 
   71,   3.0850,   9.2438,  14.7539,  -1.3865,  85.5639,   1.4316,   4.5103,   1.6336,  86.7935, 6.8180e+03,   803,  0.82557 
   72,   3.0890,   8.5977,  22.3692,  -1.8140,  72.6526,   5.0338,  12.2669,   5.5251, 125.2572, 7.5933e+03,   803,  0.85606 
   73,   3.0930,  10.2336,  15.9468,  -1.1468,  70.7026,   2.2247,   5.4677,   2.6254, 112.8373, 7.7315e+03,   803,  1.04715 
   74,   3.0970,  10.9567,  11.1418,   0.3156,  89.9776,   1.3129,   2.7246,   1.0570, 307.1945, 7.0663e+03,   803,  1.01076 
   76,   3.1050,  14.1535,  20.4642,  -4.5882,  52.0671,   9.0016,   9.0997,   9.5787,  45.9855, 7.6229e+03,   803,  0.76336 
   77,   3.1090,  12.7743,  22.0074,  -2.6807,  43.7063,  21.3922,  16.5754,  21.9759, 111.1943, 6.8034e+03,   803,  0.82859 
   78,   3.1130,  12.8476,  12.3909,   0.2503,  91.7307,   1.2815,   2.6064,   1.1979, 434.7656, 7.2123e+03,   803,  1.24672 
   79,   3.1170,  13.4289,  17.2012,  -2.4476,  57.6713,   3.5204,   4.9921,   3.9870,  51.4689, 5.9355e+03,   803,  0.96475 
   80,   3.1210,  14.2321,  14.9013,  -1.6616,  81.6566,   1.4453,   2.8899,   1.6741,  67.6689, 6.1447e+03,   803,  1.00292 
   81,   3.1250,  14.2398,  18.1662,  -2.4078,  57.1045,   4.3675,   5.5474,   4.8629,  59.8988, 6.6816e+03,   803,  1.08122 
   82,   3.1290,  20.3108,  19.8795,  -8.7774,  29.9956, 105.4382,  24.8587, 106.1898,  68.2362, 7.6121e+03,   803,  0.75328 
   83,   3.1330,  21.5315,  17.8337,  -9.7422,  25.2266, 181.5369,  29.8122, 182.3813,  75.3548, 7.3240e+03,   803,  0.63094 
   84,   3.1370,  10.6665,  23.7792,  -2.3435,  53.2111,  14.7925,  17.9457,  15.3561, 129.1724, 7.6153e+03,   803,  1.08745 
   85,   3.1410,  12.9195,  19.0680,  -2.2800,  81.1199,   2.4741,   5.0230,   2.8735,  72.4447, 6.7778e+03,   803,  1.10400 
   86,   3.1450,  14.8971,  25.8955,  -4.5437,  51.8337,  21.5698,  16.5108,  22.0829,  80.9140, 6.9229e+03,   803,  1.24266 
   87,   3.1490,  15.5482,  22.3610,  -4.0869,  50.2530,  13.5934,  10.9100,  14.1540,  64.1688, 7.0854e+03,   803,  0.83455 
   88,   3.1530,  15.7276,  22.2377,  -3.9221,  75.9545,   4.3285,   6.0965,   4.7903,  55.3029, 7.0361e+03,   803,  1.06069 
   89,   3.1570,  17.0917,  21.5471,  -5.6361,  88.0804,   2.8595,   4.4212,   3.2597,  36.1756, 6.4112e+03,   803,  1.02145 
   90,   3.1610,  15.4094,  21.8696,  -4.7196,  70.2055,   5.2947,   7.0227,   5.8144,  48.0433, 8.2817e+03,   803,  0.91495 
   91,   3.1650,  17.9289,  19.2722,  -5.0219,  62.2000,   4.1586,   4.4748,   4.6277,  31.0014, 6.2252e+03,   803,  0.76918 
   93,   3.1730,  22.4891,  26.8524, -10.3969,  40.3013, 107.1283,  29.5464, 107.7051,  78.9483, 6.9072e+03,   803,  1.04364 
   94,   3.1770,  15.1399,  22.4130,  -3.0286,  19.1875, 2250.8141, 247.9735, 2249.8627, 1167.9533, 8.8391e+03,   803,  1.37870 
   95,   3.1810,  17.8004,  26.9298,  -5.1958,  78.4776,   6.8283,   7.7250,   7.2579,  57.9843, 5.9174e+03,   803,  0.65985 
   96,   3.1850,  16.8857,  25.1094,  -3.3236,  91.9828,   4.4332,   6.5792,   4.8854,  90.3481, 7.5373e+03,   803,  1.12195 
